## Frequencies(%) of answers to several questions of the module  "Personal and Social Well-Being"
## as prepared  from the data table corresponding to the ESS 2012
## downloaded from http://www.europeansocialsurvey.org/.
## Mathieu Kessler, Universidad Politécnica de Cartagena, January 20th, 2014.
"Pais";"Pregunta";"Respuesta";"Porcentaje"
"Belgium";"Felt anxious, how often past week";"Some of the time";54.3408360128617
"Bulgaria";"Felt anxious, how often past week";"Some of the time";62.4053452115813
"Switzerland";"Felt anxious, how often past week";"Some of the time";53.6193029490617
"Cyprus";"Felt anxious, how often past week";"Some of the time";41.329739442947
"Czech Republic";"Felt anxious, how often past week";"Some of the time";30.5755395683453
"Germany";"Felt anxious, how often past week";"Some of the time";16.1082910321489
"Denmark";"Felt anxious, how often past week";"Some of the time";18.9189189189189
"Estonia";"Felt anxious, how often past week";"Some of the time";46.6891606916913
"Spain";"Felt anxious, how often past week";"Some of the time";27.2533333333333
"Finland";"Felt anxious, how often past week";"Some of the time";29.9908424908425
"United Kingdom";"Felt anxious, how often past week";"Some of the time";38.2352941176471
"Ireland";"Felt anxious, how often past week";"Some of the time";36.9224894998091
"Israel";"Felt anxious, how often past week";"Some of the time";26.081682167408
"Iceland";"Felt anxious, how often past week";"Some of the time";29.8666666666667
"Netherlands";"Felt anxious, how often past week";"Some of the time";55.2902875746066
"Norway";"Felt anxious, how often past week";"Some of the time";15.8317872603587
"Poland";"Felt anxious, how often past week";"Some of the time";28.3039058319957
"Portugal";"Felt anxious, how often past week";"Some of the time";48.1619357840856
"Russian Federation";"Felt anxious, how often past week";"Some of the time";47.3404255319149
"Sweden";"Felt anxious, how often past week";"Some of the time";33.1527627302275
"Slovenia";"Felt anxious, how often past week";"Some of the time";22.3820943245404
"Slovakia";"Felt anxious, how often past week";"Some of the time";44.6506550218341
"Kosovo";"Felt anxious, how often past week";"Some of the time";39.642567018684
"Belgium";"Felt anxious, how often past week";"Most of the time";11.8971061093248
"Bulgaria";"Felt anxious, how often past week";"Most of the time";15.7238307349666
"Switzerland";"Felt anxious, how often past week";"Most of the time";7.43967828418231
"Cyprus";"Felt anxious, how often past week";"Most of the time";17.8796046720575
"Czech Republic";"Felt anxious, how often past week";"Most of the time";8.78725590955807
"Germany";"Felt anxious, how often past week";"Most of the time";2.165820642978
"Denmark";"Felt anxious, how often past week";"Most of the time";1.53562653562654
"Estonia";"Felt anxious, how often past week";"Most of the time";10.4597216364403
"Spain";"Felt anxious, how often past week";"Most of the time";4.69333333333333
"Finland";"Felt anxious, how often past week";"Most of the time";3.02197802197802
"United Kingdom";"Felt anxious, how often past week";"Most of the time";5.09218612818262
"Ireland";"Felt anxious, how often past week";"Most of the time";4.8491790759832
"Israel";"Felt anxious, how often past week";"Most of the time";4.48847553578649
"Iceland";"Felt anxious, how often past week";"Most of the time";4.26666666666667
"Netherlands";"Felt anxious, how often past week";"Most of the time";10.4177970699946
"Norway";"Felt anxious, how often past week";"Most of the time";2.16450216450216
"Poland";"Felt anxious, how often past week";"Most of the time";8.23970037453183
"Portugal";"Felt anxious, how often past week";"Most of the time";8.93438808748255
"Russian Federation";"Felt anxious, how often past week";"Most of the time";21.6857610474632
"Sweden";"Felt anxious, how often past week";"Most of the time";4.60455037919827
"Slovenia";"Felt anxious, how often past week";"Most of the time";4.63629096722622
"Slovakia";"Felt anxious, how often past week";"Most of the time";9.49781659388646
"Kosovo";"Felt anxious, how often past week";"Most of the time";10.1543460601137
"Belgium";"Felt anxious, how often past week";"All or almost all of the time";3.59056806002144
"Bulgaria";"Felt anxious, how often past week";"All or almost all of the time";5.30066815144766
"Switzerland";"Felt anxious, how often past week";"All or almost all of the time";2.68096514745308
"Cyprus";"Felt anxious, how often past week";"All or almost all of the time";10.4222821203953
"Czech Republic";"Felt anxious, how often past week";"All or almost all of the time";2.87769784172662
"Germany";"Felt anxious, how often past week";"All or almost all of the time";0.913705583756345
"Denmark";"Felt anxious, how often past week";"All or almost all of the time";0.85995085995086
"Estonia";"Felt anxious, how often past week";"All or almost all of the time";1.940109658372
"Spain";"Felt anxious, how often past week";"All or almost all of the time";2.66666666666667
"Finland";"Felt anxious, how often past week";"All or almost all of the time";0.86996336996337
"United Kingdom";"Felt anxious, how often past week";"All or almost all of the time";2.63388937664618
"Ireland";"Felt anxious, how often past week";"All or almost all of the time";2.02367315769378
"Israel";"Felt anxious, how often past week";"All or almost all of the time";1.49615851192883
"Iceland";"Felt anxious, how often past week";"All or almost all of the time";2
"Netherlands";"Felt anxious, how often past week";"All or almost all of the time";3.2555615843733
"Norway";"Felt anxious, how often past week";"All or almost all of the time";0.185528756957328
"Poland";"Felt anxious, how often past week";"All or almost all of the time";3.10326377742108
"Portugal";"Felt anxious, how often past week";"All or almost all of the time";3.30386226151699
"Russian Federation";"Felt anxious, how often past week";"All or almost all of the time";2.45499181669394
"Sweden";"Felt anxious, how often past week";"All or almost all of the time";1.13759479956663
"Slovenia";"Felt anxious, how often past week";"All or almost all of the time";0.959232613908873
"Slovakia";"Felt anxious, how often past week";"All or almost all of the time";1.91048034934498
"Kosovo";"Felt anxious, how often past week";"All or almost all of the time";2.27457351746548
"Belgium";"Had lot of energy, how often past week";"None or almost none of the time";12.7077747989276
"Bulgaria";"Had lot of energy, how often past week";"None or almost none of the time";13.7606454504706
"Switzerland";"Had lot of energy, how often past week";"None or almost none of the time";5.1747311827957
"Cyprus";"Had lot of energy, how often past week";"None or almost none of the time";8.5278276481149
"Czech Republic";"Had lot of energy, how often past week";"None or almost none of the time";5.41645375574859
"Germany";"Had lot of energy, how often past week";"None or almost none of the time";6.86971235194585
"Denmark";"Had lot of energy, how often past week";"None or almost none of the time";8.56102003642987
"Estonia";"Had lot of energy, how often past week";"None or almost none of the time";8.96405919661733
"Spain";"Had lot of energy, how often past week";"None or almost none of the time";22.5412014885699
"Finland";"Had lot of energy, how often past week";"None or almost none of the time";8.0512351326624
"United Kingdom";"Had lot of energy, how often past week";"None or almost none of the time";16.0157964019307
"Ireland";"Had lot of energy, how often past week";"None or almost none of the time";7.38766184310739
"Israel";"Had lot of energy, how often past week";"None or almost none of the time";8.03571428571429
"Iceland";"Had lot of energy, how often past week";"None or almost none of the time";9.09090909090909
"Netherlands";"Had lot of energy, how often past week";"None or almost none of the time";10.2550189907759
"Norway";"Had lot of energy, how often past week";"None or almost none of the time";6.55534941249227
"Poland";"Had lot of energy, how often past week";"None or almost none of the time";11.04
"Portugal";"Had lot of energy, how often past week";"None or almost none of the time";16.8372093023256
"Russian Federation";"Had lot of energy, how often past week";"None or almost none of the time";6.37765735723218
"Sweden";"Had lot of energy, how often past week";"None or almost none of the time";10.2925243770314
"Slovenia";"Had lot of energy, how often past week";"None or almost none of the time";3.83386581469649
"Slovakia";"Had lot of energy, how often past week";"None or almost none of the time";9.65103598691385
"Kosovo";"Had lot of energy, how often past week";"None or almost none of the time";8.9622641509434
"Belgium";"Had lot of energy, how often past week";"Some of the time";35.3887399463807
"Bulgaria";"Had lot of energy, how often past week";"Some of the time";33.2586284177499
"Switzerland";"Had lot of energy, how often past week";"Some of the time";22.4462365591398
"Cyprus";"Had lot of energy, how often past week";"Some of the time";25.4937163375224
"Czech Republic";"Had lot of energy, how often past week";"Some of the time";29.5861011752683
"Germany";"Had lot of energy, how often past week";"Some of the time";27.6480541455161
"Denmark";"Had lot of energy, how often past week";"Some of the time";30.8439587128112
"Estonia";"Had lot of energy, how often past week";"Some of the time";31.2896405919662
"Spain";"Had lot of energy, how often past week";"Some of the time";42.6900584795322
"Finland";"Had lot of energy, how often past week";"Some of the time";37.9231473010064
"United Kingdom";"Had lot of energy, how often past week";"Some of the time";38.4817902588855
"Ireland";"Had lot of energy, how often past week";"Some of the time";31.8354912414318
"Israel";"Had lot of energy, how often past week";"Some of the time";30.1948051948052
"Iceland";"Had lot of energy, how often past week";"Some of the time";31.951871657754
"Netherlands";"Had lot of energy, how often past week";"Some of the time";25.5561584373304
"Norway";"Had lot of energy, how often past week";"Some of the time";34.5701917130489
"Poland";"Had lot of energy, how often past week";"Some of the time";28.0533333333333
"Portugal";"Had lot of energy, how often past week";"Some of the time";37.5348837209302
"Russian Federation";"Had lot of energy, how often past week";"Some of the time";33.5973322217591
"Sweden";"Had lot of energy, how often past week";"Some of the time";34.3986998916576
"Slovenia";"Had lot of energy, how often past week";"Some of the time";17.4920127795527
"Slovakia";"Had lot of energy, how often past week";"Some of the time";34.1875681570338
"Kosovo";"Had lot of energy, how often past week";"Some of the time";37.185534591195
"Belgium";"Had lot of energy, how often past week";"Most of the time";38.7131367292225
"Bulgaria";"Had lot of energy, how often past week";"Most of the time";35.8135365307037
"Switzerland";"Had lot of energy, how often past week";"Most of the time";47.5134408602151
"Cyprus";"Had lot of energy, how often past week";"Most of the time";33.4829443447038
"Czech Republic";"Had lot of energy, how often past week";"Most of the time";46.7041389882473
"Germany";"Had lot of energy, how often past week";"Most of the time";46.1928934010152
"Denmark";"Had lot of energy, how often past week";"Most of the time";43.7765634486946
"Estonia";"Had lot of energy, how often past week";"Most of the time";46.4693446088795
"Spain";"Had lot of energy, how often past week";"Most of the time";24.0297713981925
"Finland";"Had lot of energy, how often past week";"Most of the time";45.1509606587374
"United Kingdom";"Had lot of energy, how often past week";"Most of the time";33.7867485739359
"Ireland";"Had lot of energy, how often past week";"Most of the time";40.7083015993907
"Israel";"Had lot of energy, how often past week";"Most of the time";43.1006493506493
"Iceland";"Had lot of energy, how often past week";"Most of the time";45.855614973262
"Netherlands";"Had lot of energy, how often past week";"Most of the time";47.0971242539338
"Norway";"Had lot of energy, how often past week";"Most of the time";45.3308596165739
"Poland";"Had lot of energy, how often past week";"Most of the time";37.1733333333333
"Portugal";"Had lot of energy, how often past week";"Most of the time";27.6279069767442
"Russian Federation";"Had lot of energy, how often past week";"Most of the time";51.3964151729887
"Sweden";"Had lot of energy, how often past week";"Most of the time";38.4073672806067
"Slovenia";"Had lot of energy, how often past week";"Most of the time";58.3067092651757
"Slovakia";"Had lot of energy, how often past week";"Most of the time";38.8222464558342
"Kosovo";"Had lot of energy, how often past week";"Most of the time";39.8584905660377
"Belgium";"Had lot of energy, how often past week";"All or almost all of the time";13.1903485254692
"Bulgaria";"Had lot of energy, how often past week";"All or almost all of the time";17.1671896010757
"Switzerland";"Had lot of energy, how often past week";"All or almost all of the time";24.8655913978495
"Cyprus";"Had lot of energy, how often past week";"All or almost all of the time";32.4955116696589
"Czech Republic";"Had lot of energy, how often past week";"All or almost all of the time";18.2933060807358
"Germany";"Had lot of energy, how often past week";"All or almost all of the time";19.2893401015228
"Denmark";"Had lot of energy, how often past week";"All or almost all of the time";16.8184578020644
"Estonia";"Had lot of energy, how often past week";"All or almost all of the time";13.276955602537
"Spain";"Had lot of energy, how often past week";"All or almost all of the time";10.7389686337055
"Finland";"Had lot of energy, how often past week";"All or almost all of the time";8.87465690759378
"United Kingdom";"Had lot of energy, how often past week";"All or almost all of the time";11.7156647652479
"Ireland";"Had lot of energy, how often past week";"All or almost all of the time";20.0685453160701
"Israel";"Had lot of energy, how often past week";"All or almost all of the time";18.6688311688312
"Iceland";"Had lot of energy, how often past week";"All or almost all of the time";13.1016042780749
"Netherlands";"Had lot of energy, how often past week";"All or almost all of the time";17.0916983179598
"Norway";"Had lot of energy, how often past week";"All or almost all of the time";13.543599257885
"Poland";"Had lot of energy, how often past week";"All or almost all of the time";23.7333333333333
"Portugal";"Had lot of energy, how often past week";"All or almost all of the time";18
"Russian Federation";"Had lot of energy, how often past week";"All or almost all of the time";8.62859524802001
"Sweden";"Had lot of energy, how often past week";"All or almost all of the time";16.9014084507042
"Slovenia";"Had lot of energy, how often past week";"All or almost all of the time";20.3674121405751
"Slovakia";"Had lot of energy, how often past week";"All or almost all of the time";17.3391494002181
"Kosovo";"Had lot of energy, how often past week";"All or almost all of the time";13.9937106918239
"Belgium";"Could not get going, how often past week";"None or almost none of the time";58.0921757770632
"Bulgaria";"Could not get going, how often past week";"None or almost none of the time";54.9929676511955
"Switzerland";"Could not get going, how often past week";"None or almost none of the time";68.4351914036266
"Cyprus";"Could not get going, how often past week";"None or almost none of the time";64.9186256781193
"Czech Republic";"Could not get going, how often past week";"None or almost none of the time";26.5473145780051
"Germany";"Could not get going, how often past week";"None or almost none of the time";60.8062330623306
"Denmark";"Could not get going, how often past week";"None or almost none of the time";60.6337599024985
"Estonia";"Could not get going, how often past week";"None or almost none of the time";46.9587409612931
"Spain";"Could not get going, how often past week";"None or almost none of the time";47.7453580901857
"Finland";"Could not get going, how often past week";"None or almost none of the time";51.0550458715596
"United Kingdom";"Could not get going, how often past week";"None or almost none of the time";54.1978021978022
"Ireland";"Could not get going, how often past week";"None or almost none of the time";59.0126291618829
"Israel";"Could not get going, how often past week";"None or almost none of the time";64.5909645909646
"Iceland";"Could not get going, how often past week";"None or almost none of the time";64.7058823529412
"Netherlands";"Could not get going, how often past week";"None or almost none of the time";47.7765726681128
"Norway";"Could not get going, how often past week";"None or almost none of the time";63.4282178217822
"Poland";"Could not get going, how often past week";"None or almost none of the time";55.6447298020332
"Portugal";"Could not get going, how often past week";"None or almost none of the time";42.5848442584844
"Russian Federation";"Could not get going, how often past week";"None or almost none of the time";36.6101694915254
"Sweden";"Could not get going, how often past week";"None or almost none of the time";55.531453362256
"Slovenia";"Could not get going, how often past week";"None or almost none of the time";54.8
"Slovakia";"Could not get going, how often past week";"None or almost none of the time";30.2479338842975
"Kosovo";"Could not get going, how often past week";"None or almost none of the time";38.755980861244
"Belgium";"Could not get going, how often past week";"Some of the time";34.6195069667738
"Bulgaria";"Could not get going, how often past week";"Some of the time";33.8490389123301
"Switzerland";"Could not get going, how often past week";"Some of the time";26.0577568838146
"Cyprus";"Could not get going, how often past week";"Some of the time";27.9385171790235
"Czech Republic";"Could not get going, how often past week";"Some of the time";52.3273657289003
"Germany";"Could not get going, how often past week";"Some of the time";32.4525745257453
"Denmark";"Could not get going, how often past week";"Some of the time";32.9677026203534
"Estonia";"Could not get going, how often past week";"Some of the time";41.7269247128881
"Spain";"Could not get going, how often past week";"Some of the time";43.0769230769231
"Finland";"Could not get going, how often past week";"Some of the time";41.5137614678899
"United Kingdom";"Could not get going, how often past week";"Some of the time";35.2087912087912
"Ireland";"Could not get going, how often past week";"Some of the time";34.4814389590509
"Israel";"Could not get going, how often past week";"Some of the time";26.2108262108262
"Iceland";"Could not get going, how often past week";"Some of the time";29.144385026738
"Netherlands";"Could not get going, how often past week";"Some of the time";40.3470715835141
"Norway";"Could not get going, how often past week";"Some of the time";31.9306930693069
"Poland";"Could not get going, how often past week";"Some of the time";31.5676832530765
"Portugal";"Could not get going, how often past week";"Some of the time";44.5374244537424
"Russian Federation";"Could not get going, how often past week";"Some of the time";45.635593220339
"Sweden";"Could not get going, how often past week";"Some of the time";36.2255965292842
"Slovenia";"Could not get going, how often past week";"Some of the time";35.36
"Slovakia";"Could not get going, how often past week";"Some of the time";56.3636363636364
"Kosovo";"Could not get going, how often past week";"Some of the time";48.3253588516746
"Belgium";"Could not get going, how often past week";"Most of the time";5.51982851018221
"Bulgaria";"Could not get going, how often past week";"Most of the time";8.15752461322082
"Switzerland";"Could not get going, how often past week";"Most of the time";3.96239086635326
"Cyprus";"Could not get going, how often past week";"Most of the time";5.69620253164557
"Czech Republic";"Could not get going, how often past week";"Most of the time";16.0102301790281
"Germany";"Could not get going, how often past week";"Most of the time";5.18292682926829
"Denmark";"Could not get going, how often past week";"Most of the time";4.57038391224863
"Estonia";"Could not get going, how often past week";"Most of the time";9.14504466184602
"Spain";"Could not get going, how often past week";"Most of the time";5.94164456233422
"Finland";"Could not get going, how often past week";"Most of the time";5
"United Kingdom";"Could not get going, how often past week";"Most of the time";7.51648351648352
"Ireland";"Could not get going, how often past week";"Most of the time";4.20972062763108
"Israel";"Could not get going, how often past week";"Most of the time";6.71550671550672
"Iceland";"Could not get going, how often past week";"Most of the time";4.41176470588235
"Netherlands";"Could not get going, how often past week";"Most of the time";9.05639913232104
"Norway";"Could not get going, how often past week";"Most of the time";3.46534653465347
"Poland";"Could not get going, how often past week";"Most of the time";9.09577314071696
"Portugal";"Could not get going, how often past week";"Most of the time";9.9488609948861
"Russian Federation";"Could not get going, how often past week";"Most of the time";15.2118644067797
"Sweden";"Could not get going, how often past week";"Most of the time";6.56182212581345
"Slovenia";"Could not get going, how often past week";"Most of the time";7.68
"Slovakia";"Could not get going, how often past week";"Most of the time";10.4683195592287
"Kosovo";"Could not get going, how often past week";"Most of the time";10.9250398724083
"Belgium";"Could not get going, how often past week";"All or almost all of the time";1.76848874598071
"Bulgaria";"Could not get going, how often past week";"All or almost all of the time";3.00046882325363
"Switzerland";"Could not get going, how often past week";"All or almost all of the time";1.54466084620551
"Cyprus";"Could not get going, how often past week";"All or almost all of the time";1.44665461121157
"Czech Republic";"Could not get going, how often past week";"All or almost all of the time";5.1150895140665
"Germany";"Could not get going, how often past week";"All or almost all of the time";1.55826558265583
"Denmark";"Could not get going, how often past week";"All or almost all of the time";1.82815356489945
"Estonia";"Could not get going, how often past week";"All or almost all of the time";2.16928966397278
"Spain";"Could not get going, how often past week";"All or almost all of the time";3.23607427055703
"Finland";"Could not get going, how often past week";"All or almost all of the time";2.43119266055046
"United Kingdom";"Could not get going, how often past week";"All or almost all of the time";3.07692307692308
"Ireland";"Could not get going, how often past week";"All or almost all of the time";2.29621125143513
"Israel";"Could not get going, how often past week";"All or almost all of the time";2.48270248270248
"Iceland";"Could not get going, how often past week";"All or almost all of the time";1.7379679144385
"Netherlands";"Could not get going, how often past week";"All or almost all of the time";2.81995661605206
"Norway";"Could not get going, how often past week";"All or almost all of the time";1.17574257425743
"Poland";"Could not get going, how often past week";"All or almost all of the time";3.69181380417336
"Portugal";"Could not get going, how often past week";"All or almost all of the time";2.92887029288703
"Russian Federation";"Could not get going, how often past week";"All or almost all of the time";2.54237288135593
"Sweden";"Could not get going, how often past week";"All or almost all of the time";1.68112798264642
"Slovenia";"Could not get going, how often past week";"All or almost all of the time";2.16
"Slovakia";"Could not get going, how often past week";"All or almost all of the time";2.92011019283747
"Kosovo";"Could not get going, how often past week";"All or almost all of the time";1.99362041467305
"Belgium";"Enjoyed life, how often past week";"None or almost none of the time";3.96570203644159
"Bulgaria";"Enjoyed life, how often past week";"None or almost none of the time";10.0403406544151
"Switzerland";"Enjoyed life, how often past week";"None or almost none of the time";2.81501340482574
"Cyprus";"Enjoyed life, how often past week";"None or almost none of the time";8.22041553748871
"Czech Republic";"Enjoyed life, how often past week";"None or almost none of the time";11.4080164439877
"Germany";"Enjoyed life, how often past week";"None or almost none of the time";6.6079295154185
"Denmark";"Enjoyed life, how often past week";"None or almost none of the time";3.23170731707317
"Estonia";"Enjoyed life, how often past week";"None or almost none of the time";5.68037303942348
"Spain";"Enjoyed life, how often past week";"None or almost none of the time";9.80810234541578
"Finland";"Enjoyed life, how often past week";"None or almost none of the time";3.24497257769653
"United Kingdom";"Enjoyed life, how often past week";"None or almost none of the time";3.28803156510302
"Ireland";"Enjoyed life, how often past week";"None or almost none of the time";3.01067073170732
"Israel";"Enjoyed life, how often past week";"None or almost none of the time";6.27276406313234
"Iceland";"Enjoyed life, how often past week";"None or almost none of the time";2.54010695187166
"Netherlands";"Enjoyed life, how often past week";"None or almost none of the time";4.6195652173913
"Norway";"Enjoyed life, how often past week";"None or almost none of the time";1.79455445544554
"Poland";"Enjoyed life, how often past week";"None or almost none of the time";8.35117773019272
"Portugal";"Enjoyed life, how often past week";"None or almost none of the time";9.59925442684063
"Russian Federation";"Enjoyed life, how often past week";"None or almost none of the time";5.42929292929293
"Sweden";"Enjoyed life, how often past week";"None or almost none of the time";5.04612045577862
"Slovenia";"Enjoyed life, how often past week";"None or almost none of the time";1.84294871794872
"Slovakia";"Enjoyed life, how often past week";"None or almost none of the time";3.43698854337152
"Kosovo";"Enjoyed life, how often past week";"None or almost none of the time";8.83280757097792
"Belgium";"Enjoyed life, how often past week";"Some of the time";17.8456591639871
"Bulgaria";"Enjoyed life, how often past week";"Some of the time";34.648139847602
"Switzerland";"Enjoyed life, how often past week";"Some of the time";17.7613941018767
"Cyprus";"Enjoyed life, how often past week";"Some of the time";25.2032520325203
"Czech Republic";"Enjoyed life, how often past week";"Some of the time";27.5950668036999
"Germany";"Enjoyed life, how often past week";"Some of the time";28.3293798712301
"Denmark";"Enjoyed life, how often past week";"Some of the time";19.2073170731707
"Estonia";"Enjoyed life, how often past week";"Some of the time";25.688851208139
"Spain";"Enjoyed life, how often past week";"Some of the time";31.3965884861407
"Finland";"Enjoyed life, how often past week";"Some of the time";20.8866544789762
"United Kingdom";"Enjoyed life, how often past week";"Some of the time";22.1832529592284
"Ireland";"Enjoyed life, how often past week";"Some of the time";19.5121951219512
"Israel";"Enjoyed life, how often past week";"Some of the time";29.7045730473493
"Iceland";"Enjoyed life, how often past week";"Some of the time";18.048128342246
"Netherlands";"Enjoyed life, how often past week";"Some of the time";15.3260869565217
"Norway";"Enjoyed life, how often past week";"Some of the time";12.0049504950495
"Poland";"Enjoyed life, how often past week";"Some of the time";19.8072805139186
"Portugal";"Enjoyed life, how often past week";"Some of the time";37.5582479030755
"Russian Federation";"Enjoyed life, how often past week";"Some of the time";31.0606060606061
"Sweden";"Enjoyed life, how often past week";"Some of the time";24.9050461204558
"Slovenia";"Enjoyed life, how often past week";"Some of the time";15.224358974359
"Slovakia";"Enjoyed life, how often past week";"Some of the time";25.4228041462084
"Kosovo";"Enjoyed life, how often past week";"Some of the time";40.0630914826498
"Belgium";"Enjoyed life, how often past week";"Most of the time";48.2315112540193
"Bulgaria";"Enjoyed life, how often past week";"Most of the time";36.4858807709547
"Switzerland";"Enjoyed life, how often past week";"Most of the time";43.0965147453083
"Cyprus";"Enjoyed life, how often past week";"Most of the time";37.3983739837398
"Czech Republic";"Enjoyed life, how often past week";"Most of the time";39.9794450154162
"Germany";"Enjoyed life, how often past week";"Most of the time";40.7997289054558
"Denmark";"Enjoyed life, how often past week";"Most of the time";41.890243902439
"Estonia";"Enjoyed life, how often past week";"Most of the time";50.2755404832556
"Spain";"Enjoyed life, how often past week";"Most of the time";37.1535181236674
"Finland";"Enjoyed life, how often past week";"Most of the time";50.7312614259598
"United Kingdom";"Enjoyed life, how often past week";"Most of the time";43.0951337132836
"Ireland";"Enjoyed life, how often past week";"Most of the time";43.9024390243902
"Israel";"Enjoyed life, how often past week";"Most of the time";42.93808174828
"Iceland";"Enjoyed life, how often past week";"Most of the time";45.9893048128342
"Netherlands";"Enjoyed life, how often past week";"Most of the time";46.5217391304348
"Norway";"Enjoyed life, how often past week";"Most of the time";42.2029702970297
"Poland";"Enjoyed life, how often past week";"Most of the time";36.6702355460385
"Portugal";"Enjoyed life, how often past week";"Most of the time";32.3392357875116
"Russian Federation";"Enjoyed life, how often past week";"Most of the time";51.6414141414141
"Sweden";"Enjoyed life, how often past week";"Most of the time";40.2061855670103
"Slovenia";"Enjoyed life, how often past week";"Most of the time";55.6891025641026
"Slovakia";"Enjoyed life, how often past week";"Most of the time";45.1172940534643
"Kosovo";"Enjoyed life, how often past week";"Most of the time";39.4321766561514
"Belgium";"Enjoyed life, how often past week";"All or almost all of the time";29.957127545552
"Bulgaria";"Enjoyed life, how often past week";"All or almost all of the time";18.8256387270282
"Switzerland";"Enjoyed life, how often past week";"All or almost all of the time";36.3270777479893
"Cyprus";"Enjoyed life, how often past week";"All or almost all of the time";29.1779584462511
"Czech Republic";"Enjoyed life, how often past week";"All or almost all of the time";21.0174717368962
"Germany";"Enjoyed life, how often past week";"All or almost all of the time";24.2629617078956
"Denmark";"Enjoyed life, how often past week";"All or almost all of the time";35.6707317073171
"Estonia";"Enjoyed life, how often past week";"All or almost all of the time";18.3552352691819
"Spain";"Enjoyed life, how often past week";"All or almost all of the time";21.6417910447761
"Finland";"Enjoyed life, how often past week";"All or almost all of the time";25.1371115173675
"United Kingdom";"Enjoyed life, how often past week";"All or almost all of the time";31.4335817623849
"Ireland";"Enjoyed life, how often past week";"All or almost all of the time";33.5746951219512
"Israel";"Enjoyed life, how often past week";"All or almost all of the time";21.0845811412384
"Iceland";"Enjoyed life, how often past week";"All or almost all of the time";33.4224598930481
"Netherlands";"Enjoyed life, how often past week";"All or almost all of the time";33.5326086956522
"Norway";"Enjoyed life, how often past week";"All or almost all of the time";43.9975247524753
"Poland";"Enjoyed life, how often past week";"All or almost all of the time";35.1713062098501
"Portugal";"Enjoyed life, how often past week";"All or almost all of the time";20.5032618825722
"Russian Federation";"Enjoyed life, how often past week";"All or almost all of the time";11.8686868686869
"Sweden";"Enjoyed life, how often past week";"All or almost all of the time";29.8426478567553
"Slovenia";"Enjoyed life, how often past week";"All or almost all of the time";27.2435897435897
"Slovakia";"Enjoyed life, how often past week";"All or almost all of the time";26.0229132569558
"Kosovo";"Enjoyed life, how often past week";"All or almost all of the time";11.6719242902208
"Belgium";"Felt lonely, how often past week";"None or almost none of the time";70.3802892340653
"Bulgaria";"Felt lonely, how often past week";"None or almost none of the time";53.9491298527443
"Switzerland";"Felt lonely, how often past week";"None or almost none of the time";76.8456375838926
"Cyprus";"Felt lonely, how often past week";"None or almost none of the time";65.1392632524708
"Czech Republic";"Felt lonely, how often past week";"None or almost none of the time";52.6666666666667
"Germany";"Felt lonely, how often past week";"None or almost none of the time";76.5243902439024
"Denmark";"Felt lonely, how often past week";"None or almost none of the time";83.7887067395264
"Estonia";"Felt lonely, how often past week";"None or almost none of the time";63.6286919831224
"Spain";"Felt lonely, how often past week";"None or almost none of the time";67.8514588859416
"Finland";"Felt lonely, how often past week";"None or almost none of the time";77.9398359161349
"United Kingdom";"Felt lonely, how often past week";"None or almost none of the time";70.0262927256792
"Ireland";"Felt lonely, how often past week";"None or almost none of the time";69.4158075601375
"Israel";"Felt lonely, how often past week";"None or almost none of the time";70.4463208685163
